id,slug,url,available,dateCreated,images,brand,sizes,price.amount,price.amountWithTax,price.discount,price.currency,price.nationalShipping,price.internationalShipping,seller.username,price.discount.percentage,price.discount.amountAfterDiscount
433548188,rqdrigp-supreme-mf-doom-hooded-sweater,https://www.depop.com/products/rqdrigp-supreme-mf-doom-hooded-sweater,True,2024-05-30T18:36:28.648789Z,"['https://media-photos.depop.com/b1/38440701/1884965271_e571b1f0a52c4449b196cd2810d2ac98/P8.jpg', 'https://media-photos.depop.com/b1/38440701/1884965291_8075388f65174345b447427e71f831bb/P8.jpg', 'https://media-photos.depop.com/b1/38440701/1884966779_c24ecf2bc0584a2badc6f16861d67a53/P8.jpg']",Supreme,['L'],350.00,,,USD,10.99,,rqdrigp,28.0,250.00
429633690,calebzip-vintage-reebok-windbreaker-womens-size,https://www.depop.com/products/calebzip-vintage-reebok-windbreaker-womens-size,True,2024-05-15T19:33:01.153397Z,"['https://media-photos.depop.com/b1/39165628/1865563003_ece1da3b88a040d2bb4aaf7a3e515d0c/P8.jpg', 'https://media-photos.depop.com/b1/39165628/1865564034_5b2f4ecd87a24229a0ee0333db3b39f0/P8.jpg', 'https://media-photos.depop.com/b1/39165628/1865564690_841dd0dce0cd4910878dd445881d2f35/P8.jpg', 'https://media-photos.depop.com/b1/39165628/1865565146_c6a2bed732f4439ab4c173ba09a461c2/P8.jpg']",Reebok,['L'],25.00,,,USD,6.29,,calebzip,,
418860427,passion_fashion-andeiltech-canvas-cat-tote-bag,https://www.depop.com/products/passion_fashion-andeiltech-canvas-cat-tote-bag,True,2024-04-01T07:04:09.499508Z,"['https://media-photos.depop.com/b1/44289013/1812498220_c9521ffe956c405bb81fe1b766e1abec/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1812498223_d3e17564d7d54904be06c9893ba2b752/P8.jpg']",Other,[],25.00,,,USD,0.00,,passion_fashion,20.0,20.00
416668153,closedeyesthrift-figaro-chain-18k-gold-plated,https://www.depop.com/products/closedeyesthrift-figaro-chain-18k-gold-plated,True,2024-03-23T17:03:29.697Z,['https://media-photos.depop.com/b1/27617310/1802115296_1f6c6df7b41944d78a54eb2b6409d744/P8.jpg'],Other,[],70.00,,,USD,4.49,,closedeyesthrift,,
393956978,passion_fashion-black-messenger-bag-playboy,https://www.depop.com/products/passion_fashion-black-messenger-bag-playboy,True,2023-12-06T04:24:11.440624Z,"['https://media-photos.depop.com/b1/44289013/1689200109_d5130afc06944d73af3117b010d07634/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1689200119_0db92329dd1745fa92dd6d97f713a2d2/P8.jpg']",Other,[],42.00,,,USD,0.00,,passion_fashion,15.0,35.70
393585941,passion_fashion-gothic-knitted-sweater-multiple-sizes,https://www.depop.com/products/passion_fashion-gothic-knitted-sweater-multiple-sizes,True,2023-12-04T07:08:33.000804Z,"['https://media-photos.depop.com/b1/44289013/1687395462_4a3b7c027d014562b52edc51ce17fe23/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1687395468_7a869b949fa74d87933cc689dfe1d518/P8.jpg']",Other,"['M', 'L', 'XL']",48.00,,,USD,0.00,,passion_fashion,15.0,40.80
393543735,passion_fashion-gothic-knitted-sweater,https://www.depop.com/products/passion_fashion-gothic-knitted-sweater,True,2023-12-04T02:07:51.044785Z,"['https://media-photos.depop.com/b1/44289013/1687196450_1a7e8fc900dd43238f1a394e74bf6dbb/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1687196406_47e3323ac80d4a28b39cf7e35c5728ab/P8.jpg']",Other,"['M', 'L', 'XL']",60.00,,,USD,0.00,,passion_fashion,25.0,45.00
393195676,passion_fashion-y2k-gothic-graphic-t,https://www.depop.com/products/passion_fashion-y2k-gothic-graphic-t,True,2023-12-02T03:23:34.1185Z,"['https://media-photos.depop.com/b1/44289013/1685493241_e0ae0270decc45c4bd90ea214aa9bdf0/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1685493258_66addd3ad9e34015a38e389df46a65f9/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1685493267_b2d70d66ea0f48fe92f182489bd0b8c1/P8.jpg']",Other,"['S', 'M', 'L', 'XL']",65.00,,,USD,0.00,,passion_fashion,20.0,52.00
392152840,passion_fashion-fuzzy-bucket-hat-playboy-playboi-1249,https://www.depop.com/products/passion_fashion-fuzzy-bucket-hat-playboy-playboi-1249,True,2023-11-26T21:38:50.657475Z,"['https://media-photos.depop.com/b1/44289013/1680420424_5e429be84e414df4892e93fd2f4408c4/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1680420437_f232a8955b2444d3996dff699d3af139/P8.jpg']",Other,[],30.00,,,USD,0.00,,passion_fashion,15.0,25.50
392152376,passion_fashion-fuzzy-bucket-hat-playboy-playboi,https://www.depop.com/products/passion_fashion-fuzzy-bucket-hat-playboy-playboi,True,2023-11-26T21:37:04.202506Z,"['https://media-photos.depop.com/b1/44289013/1680416642_e8c0d71d19ce40f2a712f6ba3292c25e/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1680416672_cf9091c2bbb84d829735f91e207b2ff5/P8.jpg']",Other,[],30.00,,,USD,0.00,,passion_fashion,15.0,25.50
391160322,1400j4ck-hugee-sale-go-check-it,https://www.depop.com/products/1400j4ck-hugee-sale-go-check-it,True,2023-11-21T16:18:18.82342Z,"['https://media-photos.depop.com/b1/39673860/1675786772_e20d44aba6814fd4a9d27dca1a0ffb54/P8.jpg', 'https://media-photos.depop.com/b1/39673860/1675786723_a351cf2520d0490c921c0a8a426a471c/P8.jpg']",JNCO,['Other'],10.00,,,USD,5.39,,1400j4ck,,
390795379,passion_fashion-women-cartoon-plush-shoulder-bag,https://www.depop.com/products/passion_fashion-women-cartoon-plush-shoulder-bag,True,2023-11-19T21:11:28.779665Z,"['https://media-photos.depop.com/b1/44289013/1674078349_6da1f240c7b0421db05a8286d2c82534/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1674078366_652abd1800784f88b917be388c5972ba/P8.jpg']",Other,[],25.00,,,USD,0.00,,passion_fashion,15.0,21.25
389271268,passion_fashion-womens-goth-long-sleeve-playboy,https://www.depop.com/products/passion_fashion-womens-goth-long-sleeve-playboy,True,2023-11-12T01:38:05.724143Z,"['https://media-photos.depop.com/b1/44289013/1666956096_0b2537ccd6644668ba9d730a221f3acc/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1666956106_f18e0566b7e84af4854e7a07eef57853/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1666956114_6107907f32504b1ba963e4e24c18e572/P8.jpg', 'https://media-photos.depop.com/b1/44289013/1666956124_361fd85e6c974c80af5ba43f21ced778/P8.jpg']",Other,"['S', 'M', 'L']",35.00,,,USD,0.00,,passion_fashion,20.0,28.00
